,GalaxyID,FASHIID,ra_h1,dec_h1,mass_ratio,d_p,logM,SFR,z_a,W50,S_bf,logMh1,z_h1
1595,J092624+330408,20230009823,141.6026,33.0663,4.419317662877103,176.5916441,10.25444984,-0.100245006,0.0451675131916999,324.9,1576.79,10.09,0.0450965666666666
1596,J103015+382503,20230050985,157.5599,38.4197,0.012115187810791675,160.7699262,9.370107651,0.081329934,0.0537848249077796,177.82,1072.93,10.04,0.0537609333333333
1597,J100353+370412,20230015124,150.9848,37.0539,0.07342722695544328,177.4200078,9.317544937,-0.536621392,0.0411729738116264,183.44,207.52,9.14,0.0411415
1598,J095413+363208,20230052392,148.5547,36.5407,3.0775083078549303,84.30312009,8.760779381,-0.759416997,0.0159291885793209,175.61,1816.0,9.29,0.0159552
1599,J095732+370045,20230015030,149.3741,37.0134,1.0261265034740654,142.5010954,9.556432724,0.013302803,0.0407633855938911,175.28,318.66,9.32,0.0408225
1600,J093731+353526,20230058876,144.3846,35.5944,3.422487069492575,151.1624157,10.14403439,-0.057784174,0.0222849063575267,303.56,1530.05,9.49,0.0223659
1601,J093905+354807,20230012916,144.7644,35.7906,0.052140649651452736,114.7915664,8.373484612,-0.753363192,0.0203364789485931,113.12,372.44,8.8,0.0203560666666666
1602,J100052+373950,20230016159,150.2101,37.6555,1.0532385366403654,159.7844276,9.561033249,-0.052752018,0.0514596998691558,23.26,367.91,9.54,0.0514992666666666
1603,J092938+352025,20230012214,142.4075,35.3404,19.275305853340665,149.9802797,8.96471405,-0.767410636,0.0145208640024065,157.93,2095.31,9.27,0.0144521
1604,J130311+484707,20230030633,195.7919,48.7894,21.80635068321308,55.72531007,9.427289009,-0.322470039,0.0160717666149139,155.89,3489.38,9.61,0.0160437666666666
1605,J132329+490047,20230062841,200.8584,49.0104,13.207859578284062,196.2201019,9.984459877,-0.381153882,0.0284973941743373,189.0,1212.56,9.58,0.0285033
1606,J123058+505530,20230032467,187.7411,50.9349,0.40633911464713357,101.9627903,10.15499878,0.239952207,0.044386401772499,221.76,368.76,9.44,0.0443528666666666
1607,J150339+420734,20230023107,225.9359,42.1151,0.6260361154731487,71.0384521,9.22465229,-0.634137094,0.0173119362443685,389.01,10248.8,10.09,0.0170047
1608,J120420+562048,20230037940,181.1122,56.3439,16.867576674778437,167.9529577,10.86662579,-0.513872743,0.0410159118473529,404.74,2742.87,10.25,0.0409926333333333
1609,J115446+563603,20230056816,178.6899,56.5845,1.0040508542935824,176.4787309,10.07710743,0.252686918,0.0409228652715683,143.88,346.99,9.35,0.0410504333333333
1610,J120224+461356,20230050528,180.5971,46.2484,3.9730318992923856,41.5938102,10.17939568,-0.275303513,0.0640634447336196,112.35,311.39,9.66,0.0640367666666666
1611,J110809+451249,20230027008,167.0395,45.2122,1.005094281338834,87.60708386,8.655916214,-0.865701497,0.0205001216381788,115.69,638.37,9.04,0.0204920666666666
1612,J111347+453223,20230027368,168.4334,45.5532,0.622582749360057,83.48459992,9.728088379,0.045298547,0.029086785390973,155.17,1330.32,9.68,0.0293336
1613,J115212+465329,20230028940,178.0535,46.8919,1.7777913550314213,70.52398056,8.910354614,-0.47609067,0.0191260110586881,179.12,1068.48,9.21,0.0191215666666666
1614,J120713+471148,20230029205,181.8165,47.1934,4.634788588499226,109.3201745,10.57037258,0.465521038,0.0440325736999511,345.13,2172.57,10.21,0.0440879
1615,J121212+470258,20230029100,183.0578,47.0535,1.4986136948040292,97.3207552,10.06122303,-0.338924944,0.03154057264328,302.1,1261.51,9.71,0.0315914666666666
1616,J121713+472048,20230029353,184.3041,47.3446,2.6000622747948547,197.2199205,9.487872124,-0.622517705,0.0242188237607479,178.39,435.03,9.01,0.0241863666666666
1617,J121751+471212,20230029211,184.467,47.1998,0.504794378656694,150.2338276,8.608983994,-1.035638213,0.0242632161825895,127.08,371.69,8.94,0.0242008666666666
1618,J124219+471312,20230029232,190.5824,47.2183,0.9265103624512294,199.9005373,9.31552124,-0.13067095,0.0387962721288204,114.43,443.11,9.42,0.0388491
1619,J103009+440720,20230025945,157.5395,44.1262,43.84567566765186,92.9063071,10.68282509,-0.016532164,0.0290913470089435,407.31,5952.49,10.33,0.0290310333333333
1620,J110210+455337,20230027872,165.5522,45.8946,1.8285984150315893,78.50680203,9.146155357,-0.299536765,0.0226259268820285,416.03,2900.03,9.76,0.0219426666666666
1621,J121733+473307,20230029552,184.3896,47.5519,2.091695518874987,163.3372452,8.966187477,-0.85485822,0.0246833134442567,158.02,1237.78,9.48,0.0246503666666666
1622,J105819+461409,20230028297,164.5908,46.243,0.049797817699955185,100.5493105,9.754384041,-0.117405735,0.040011741220951,225.18,764.43,9.69,0.0399954666666666
1623,J112117+470416,20230051357,170.3235,47.0684,0.544036615292123,46.67512319,10.03754902,0.031888667,0.0547544583678245,343.45,2725.03,10.46,0.0545640333333333
1624,J112453+473936,20230029674,171.2165,47.6687,0.8017331589660459,115.6514018,9.238269806,-0.514967024,0.033453457057476,194.77,716.42,9.51,0.0333917333333333
1625,J132724+452619,20230027217,201.8525,45.4384,3.3013316461099373,191.9667608,7.626114845,-1.456282139,0.0042144218459725,78.06,3727.76,8.69,0.0042289666666666
1626,J123323+463736,20230028725,188.345,46.6346,27.66846908500023,74.74494301,9.979297638,0.151639447,0.0244405958801507,221.3,5470.78,10.12,0.0243928666666666
