GalaxyID,FASHIID,ra_h1,dec_h1,d_p,logM,SFR,z_a,W50,S_bf,logMh1,z_h1,type
J081121+365649,20230014951,122.8358,36.9497,137.6732069,9.823,-0.248270437,0.029868124,255.67,875.18,9.52,0.02989896666666667,S+S
J090059+463320,20230028633,135.2379,46.5592,168.7634255,10.284,-0.084330834,0.040189635,227.85,1098.29,9.84,0.04019813333333334,S+S
J100739+460926,20230055853,151.9119,46.1555,81.46743497,10.225,0.103,0.024698343,265.38,1549.2,9.6,0.0246874,S+E
J112718+505713,20230032489,171.8209,50.9579,139.6544888,9.213,-0.824932039,0.033708066,128.19,577.99,9.42,0.033727966666666664,S+S
J085723+391602,20230018591,134.3394,39.2639,187.8487299,9.692,-0.255305022,0.028451394,109.7,1160.77,9.61,0.028459433333333332,S+S
J094754+452806,20230027242,146.9787,45.473,176.5628489,8.983,-0.933386505,0.015331191,187.72,1215.56,9.08,0.015344,S+S
J102443+482439,20230030335,156.1896,48.436,38.110414,9.61,-0.300900608,0.02513399,167.38,2093.73,9.75,0.0252176,S+S
J102443+482439,20230030335,156.1896,48.436,38.110414,9.338,-0.13333337,0.025258815,167.38,2093.73,9.75,0.0252176,S+S
J103316+490156,20230030847,158.321,49.0273,41.06734255,10.052,0.028,0.04521168,234.57,1166.51,9.96,0.0451439,S+E
J080443+295603,20230060471,121.1721,29.9611,87.4190611,9.41,-0.320402801,0.034982592,203.56,1157.36,9.76,0.034841500000000004,S+S
J080443+295603,20230060471,121.1721,29.9611,87.4190611,9.393,-0.36552158,0.03468005,203.56,1157.36,9.76,0.034841500000000004,S+S
J081949+330536,20230050143,124.9535,33.0889,117.0831287,10.78604698,0.407857269,0.062334865,56.57,882.96,10.08,0.06228463333333333,S+E
J084411+373620,20230016087,131.0459,37.6056,166.4297638,9.664,-1.739416122,0.026274025,184.94,1611.05,9.67,0.026260166666666668,S+E
J084758+385012,20230017900,131.9925,38.8138,107.6157266,8.753,-0.829043925,0.027458929,164.0,1014.52,9.52,0.027585066666666668,S+S
J085129+391355,20230018548,132.8625,39.2352,150.6318288,9.351,-0.402574599,0.029104479,141.73,825.26,9.48,0.029174066666666665,S+S
J091723+430012,20230024612,139.3519,42.9983,117.7445113,10.59795189,0.538079619,0.062708624,77.01,1703.23,10.37,0.06255666666666666,S+S
J091723+430012,20230024612,139.3519,42.9983,117.7445113,10.60006428,0.298360854,0.061855379,77.01,1703.23,10.37,0.06255666666666666,S+S
J100409+530327,20230034552,151.038,53.0465,64.21989308,9.67,-0.034296285,0.040057886,186.76,1715.16,10.03,0.040166766666666666,S+S
J100409+530327,20230034552,151.038,53.0465,64.21989308,9.49,-1.206818223,0.040333651,186.76,1715.16,10.03,0.040166766666666666,S+S
J094759+515239,20230033311,146.9944,51.878,70.80668372,10.311,0.449,0.047393933,84.1,1380.72,10.07,0.04733436666666666,S+S
J095236+521318,20230033605,148.153,52.2215,195.622343,10.693,0.727,0.039175414,334.27,1357.91,9.91,0.03912296666666666,S+S
J100009+532918,20230035077,150.0393,53.4925,78.24338657,9.459,-0.382692337,0.039131921,35.33,1076.67,9.81,0.039000233333333335,S+S
J100009+532918,20230035077,150.0393,53.4925,78.24338657,9.403,-0.343166173,0.039266124,35.33,1076.67,9.81,0.039000233333333335,S+S
J091504+415949,20230022949,138.7677,42.0111,42.69724968,10.721,-1.108124852,0.02791973,99.2,2406.61,9.91,0.027954899999999998,S+S
J091504+415949,20230022949,138.7677,42.0111,42.69724968,10.326,0.97,0.027897362,99.2,2406.61,9.91,0.027954899999999998,S+S
J101252+471612,20230029292,153.2139,47.2867,48.98703394,9.756,0.076,0.039536059,326.19,1202.96,9.86,0.039034433333333333,S+S
J120749+522051,20230033708,182.0249,52.3416,130.4758668,11.116,0.59,0.062104866,342.8,2569.52,10.55,0.06222143333333333,S+E
J102559+494252,20230031475,156.5323,49.7267,90.91394347,9.705,0.007328633,0.04301545,247.95,816.24,9.77,0.04310403333333333,S+S
J115055+530156,20230034579,177.7149,53.0634,114.2966805,10.71820545,0.611037195,0.06646762,114.83,1137.97,10.25,0.06651843333333333,S+S
J123005+531210,20230034764,187.5419,53.2017,96.84026521,9.201,-0.432422727,0.040653452,177.93,1310.22,9.92,0.04060046666666667,S+S
J123005+531210,20230034764,187.5419,53.2017,96.84026521,9.537,-0.782596469,0.040370952,177.93,1310.22,9.92,0.04060046666666667,S+S
J115056+532221,20230034916,177.737,53.3883,26.45575056,9.706039429,-0.268855125,0.032378051,188.09,2287.55,9.99,0.032564166666666665,S+S
J115056+532221,20230034916,177.737,53.3883,26.45575056,9.363668442,-0.212578475,0.032603242,188.09,2287.55,9.99,0.032564166666666665,S+S
J090738+374020,20230016197,136.9095,37.6776,110.0867125,9.298,-0.37520662,0.023233553,197.75,1395.32,9.49,0.0232111,S+S
J091041+383716,20230050971,137.6634,38.6361,46.62951371,10.541,0.31,0.047022551,263.59,1308.53,10.04,0.04692533333333333,S+S
J100152+442838,20230026338,150.476,44.4738,160.7976727,9.7,0.224,0.033137802,112.53,1743.8,9.9,0.03306743333333333,S+S
J082850+315701,20230008076,127.2064,31.9178,149.9205297,10.214,0.515,0.062126093,109.5,527.58,9.85,0.06203153333333333,S+S
J130438+483211,20230030433,196.1552,48.5366,30.52316871,9.619,-0.00879513,0.035588507,101.35,1131.67,9.75,0.035468400000000004,S+S
J111555+481554,20230030159,168.954,48.2777,70.85174201,9.088,-0.962033749,0.025479373,162.26,1225.78,9.52,0.025437599999999998,S+S
J125617+490756,20230030956,194.0744,49.1183,195.7702668,9.397,-0.256402403,0.030743394,155.89,913.99,9.53,0.030696800000000003,S+S
J140538+462328,20230028469,211.4234,46.4306,120.9786017,11.108,0.426,0.067405395,99.04,948.06,10.18,0.067329,S+E
J145043+424602,20230024226,222.6668,42.7435,26.92350299,9.609,-0.303434074,0.01848381,269.82,10517.6,10.16,0.0181869,S+S
J145043+424602,20230024226,222.6668,42.7435,26.92350299,9.171,-0.891562581,0.018187124,269.82,10517.6,10.16,0.0181869,S+S
J092736+412113,20230022113,141.8956,41.3516,181.153063,9.064,-0.61535871,0.033428386,80.35,648.56,9.48,0.0334561,S+S
J121919+502354,20230032006,184.8314,50.3943,96.85079245,9.212,-0.599348426,0.029835062,167.99,879.05,9.5,0.029759866666666662,S+S
J131222+493516,20230051374,198.0676,49.6111,87.18123165,10.403,0.635,0.05472599,314.74,1106.77,10.07,0.05454366666666667,S+S
J101659+463036,20230028551,154.2418,46.4987,28.53319486,9.078,-0.460954309,0.030446215,127.07,1010.41,9.6,0.0304372,S+S
J115232+502726,20230032054,178.1245,50.4483,160.1008589,10.683,0.198,0.032635529,138.13,2259.12,9.99,0.03264683333333333,S+E
J130828+500012,20230051379,197.1279,50.0025,124.9178232,9.958,0.19,0.047861353,257.15,583.5,9.7,0.04781323333333333,S+S
J121407+511349,20230032699,183.54,51.232,114.8874224,9.576,-0.546761632,0.027174033,189.62,530.43,9.19,0.027070399999999998,S+S
J115218+585657,20230039701,178.0572,58.9585,67.40171645,9.951,0.488,0.046216745,82.21,978.23,9.9,0.046165566666666664,S+S
J131739+590252,20230039764,199.4171,59.0558,41.1772954,9.159,-0.52958101,0.027756363,196.63,3703.77,10.05,0.0278728,S+S
J131739+590252,20230039764,199.4171,59.0558,41.1772954,9.329,-0.341742992,0.028008856,196.63,3703.77,10.05,0.0278728,S+S
J130307+601458,20230040520,195.769,60.2392,161.0962353,10.632,0.497,0.060365938,130.91,532.36,9.84,0.0603572,S+E
J130531+601010,20230040462,196.3955,60.1696,35.80436426,10.363,0.186,0.060237896,228.41,1061.34,10.14,0.06020506666666667,S+S
J111157+482649,20230030343,167.9867,48.4459,103.9191083,8.837,-0.687589407,0.026232254,164.49,841.62,9.38,0.026158933333333335,S+S
J120602+502457,20230032025,181.5206,50.4106,184.9834521,9.005,-0.79731679,0.023470115,175.35,623.74,9.15,0.02345686666666667,S+S
J120639+502408,20230032015,181.679,50.4028,149.5881812,10.373,0.684,0.062701069,287.06,618.05,9.94,0.0627419,S+S
J101842+493713,20230031387,154.6798,49.6204,21.42611389,9.819,0.082671963,0.054103896,237.37,2599.98,10.43,0.053814966666666665,S+S
J101842+493713,20230031387,154.6798,49.6204,21.42611389,10.114,0.505,0.053536974,237.37,2599.98,10.43,0.053814966666666665,S+S
J115651+533928,20230035281,179.2197,53.6566,66.54268895,9.524702072,0.255072474,0.051766697,110.63,1351.55,10.12,0.05178793333333333,S+S
J115651+533928,20230035281,179.2197,53.6566,66.54268895,9.830006599,-0.054968677,0.051890519,110.63,1351.55,10.12,0.05178793333333333,S+S
J130837+540427,20230063318,197.1533,54.0746,64.42238457,8.912946701,-0.707731783,0.008212068,202.52,12819.2,9.65,0.008227266666666667,S+S
J131045+532024,20230034875,197.7027,53.3296,123.6019069,9.565,-0.20124051,0.029084258,118.68,803.63,9.42,0.029243866666666667,S+S
J131901+533837,20230056412,199.7587,53.6332,7.958278553,8.927348137,-0.534987986,0.032507874,171.2,1813.03,9.87,0.032528499999999995,S+S
J131901+533837,20230056412,199.7587,53.6332,7.958278553,8.744244576,-0.536223054,0.032550782,171.2,1813.03,9.87,0.032528499999999995,S+S
J152056+454305,20230055858,230.2407,45.7198,5.095887259,9.865,0.57,0.027123034,145.74,1078.49,9.45,0.027259933333333333,S+S
J135507+565339,20230063600,208.7973,56.8974,32.77474429,10.598,0.16,0.054116447,35.3,673.1,9.85,0.054131566666666665,S+E
J140937+560448,20230063478,212.4431,56.0902,62.91296803,8.999119759,-0.788292468,0.02962763,212.72,1308.13,9.64,0.0296678,S+S
J140937+560448,20230063478,212.4431,56.0902,62.91296803,8.913183212,-0.501830995,0.02979804,212.72,1308.13,9.64,0.0296678,S+S
J141906+562901,20230038032,214.7899,56.4881,53.23574547,9.606,-0.194520384,0.029302305,216.3,2159.34,9.85,0.029438333333333334,S+S
J150721+524755,20230034245,226.7748,52.7894,80.85959229,9.64,-0.144285783,0.037474819,216.56,1090.38,9.76,0.03751363333333333,S+S
J162139+360943,20230013543,245.3992,36.1579,25.10048078,9.328,-0.42774719,0.028305294,127.64,998.14,9.4,0.0283481,S+S
J151643+473127,20230029526,229.1719,47.5241,38.10691189,9.059,-0.605608523,0.028896617,199.62,1556.16,9.66,0.02901096666666667,S+S
J151643+473127,20230029526,229.1719,47.5241,38.10691189,9.332,-0.653653026,0.0292158,199.62,1556.16,9.66,0.02901096666666667,S+S
J155710+413236,20230022334,239.3402,41.5353,74.9054307,9.579,0.222,0.034450021,121.8,1772.68,9.89,0.03438033333333333,S+S
J155710+413236,20230022334,239.3402,41.5353,74.9054307,9.869,0.438,0.034407094,121.8,1772.68,9.89,0.03438033333333333,S+S
J161324+381617,20230017024,243.3603,38.2436,58.71461894,9.54,-0.409689963,0.042614117,205.48,3441.29,10.37,0.0424146,S+S
J161324+381617,20230017024,243.3603,38.2436,58.71461894,9.978,-0.099999905,0.04240353,205.48,3441.29,10.37,0.0424146,S+S
J155957+412840,20230062090,239.9782,41.489,33.69625291,10.928,-0.891258776,0.033250887,246.32,1193.94,9.68,0.033196866666666665,S+E
J164614+312829,20230007409,251.5976,31.4517,114.5981614,10.048,-0.306010664,0.050537094,82.43,684.86,9.8,0.050494033333333334,S+E
J153812+461125,20230028209,234.5467,46.1873,198.4810923,9.166,-0.296453625,0.037510723,121.31,692.56,9.57,0.0374989,S+S
J144304+532551,20230034947,220.7535,53.4117,65.71627029,9.047352791,-0.450594038,0.037979566,176.93,1129.79,9.79,0.03806506666666667,S+S
J144304+532551,20230034947,220.7535,53.4117,65.71627029,9.129897118,-0.400127649,0.038119905,176.93,1129.79,9.79,0.03806506666666667,S+S
J145146+523510,20230033986,222.9499,52.5823,19.79591904,10.01796341,0.539512336,0.065232202,132.44,1376.9,10.32,0.06537639999999999,S+S
J163716+355844,20230054589,249.3082,35.9762,192.9617714,10.191,0.467,0.037610821,226.4,2052.84,10.05,0.03759653333333333,S+S
J161741+405601,20230021541,244.4209,40.9294,167.5454334,10.983,0.626,0.062094789,264.07,1409.16,10.29,0.0620334,S+S
J162619+390656,20230050855,246.5942,39.0784,97.29631192,10.302,0.11,0.05484261,205.8,955.77,10.02,0.05481136666666667,S+S
J162831+390611,20230018320,247.1591,39.0869,71.91302723,9.617,-0.631250024,0.033394396,150.92,1909.04,9.77,0.031014066666666666,S+S
J103438+432057,20230055673,158.662,43.3445,126.0820038,8.76099205,-0.65913707,0.028792311,111.37,728.91,9.41,0.028859633333333332,S+S
