Galaxy,PID,RA_A,DEC_A,Z_A,RA_B,DEC_B,Z_B
J152056+454305,17868,230.23580784757576,45.71814419092356,0.02712303400039673,230.23653251057056,45.72182044315432,0.02711305394768715
J135507+565339,18021,208.7830353439591,56.8944179022885,0.05412354692816734,208.7917378630582,56.905818717079846,0.054116446524858475
J140937+560448,18024,212.40453372111494,56.080047897557606,0.02962763048708439,212.47748670131932,56.09066954648811,0.02979804016649723
J140937+560448,18024,212.40453372111494,56.080047897557606,0.02962763048708439,212.47748670131932,56.09066954648811,0.02979804016649723
J141906+562901,18038,214.7767308180217,56.48372320042502,0.029302304610610008,214.8308550981157,56.5037660011842,0.029680823907256126
J150721+524755,18098,226.83888985144628,52.798752734341036,0.0378541499376297,226.76976112381442,52.78985740940133,0.03747481852769852
J162139+360943,18186,245.41540448016252,36.16219974501775,0.028495563194155693,245.399327660084,36.15057218114758,0.02830529399216175
J151643+473127,18202,229.17930054463142,47.52422510276634,0.028896616771817207,229.14065039986917,47.523849540941214,0.029215799644589424
J151643+473127,18202,229.17930054463142,47.52422510276634,0.028896616771817207,229.14065039986917,47.523849540941214,0.029215799644589424
J155710+413236,18220,239.29377144431191,41.543599979551566,0.034450020641088486,239.34938047342962,41.53158086899105,0.03440709412097931
J155710+413236,18220,239.29377144431191,41.543599979551566,0.034450020641088486,239.34938047342962,41.53158086899105,0.03440709412097931
J161324+381617,18223,243.35331085274802,38.27150397694611,0.04261411726474762,243.366442543125,38.24576998358664,0.042403530329465866
J161324+381617,18223,243.35331085274802,38.27150397694611,0.04261411726474762,243.366442543125,38.24576998358664,0.042403530329465866
J155957+412840,18257,239.9879625764771,41.47779432327642,0.03325088694691658,240.0147997236233,41.479312106020394,0.03349166363477707
J164614+312829,18278,251.56095070064154,31.474906008064035,0.049611542373895645,251.60098432165407,31.442809738784124,0.050537094473838806
J153812+461125,18315,234.55264699721454,46.19050120585013,0.03751072287559509,234.7028843878126,46.171077526699904,0.0366954430937767
J144304+532551,18370,220.7698420577873,53.4308628958351,0.03797956556081772,220.711885144894,53.42833872699039,0.038119904696941376
J144304+532551,18370,220.7698420577873,53.4308628958351,0.03797956556081772,220.711885144894,53.42833872699039,0.038119904696941376
J145146+523510,18371,222.94425398105702,52.58634237624545,0.06523220241069794,222.9339345177461,52.58648760778498,0.0659281462430954
J163716+355844,18437,249.31858142047435,35.97904755434678,0.037610821425914764,249.4009352366691,36.05710574243955,0.03755537420511246
J161741+405601,18660,244.42296406783584,40.9338200214275,0.0620947889983654,244.39931553731066,40.881217582013754,0.06261346489191055
J162619+390656,18661,246.58133267520662,39.115637086338495,0.05490117892622948,246.5979007381975,39.081817267993635,0.05484260991215706
J162831+390611,18685,247.13276745021443,39.103328005388704,0.03339439630508423,247.10064489075995,39.13819163229647,0.03225342184305191
J103438+432057,19297,158.6624606705223,43.34936954400157,0.028792310506105423,158.78147189104016,43.34482116072777,0.02881346084177494
J120204+462349,19323,180.52082163007796,46.39704335985531,0.043637339025735855,180.51151429675969,46.44902381909845,0.045176513493061066
J095010+402442,19342,147.543014200292,40.41186877319512,0.047323983162641525,147.62257878289367,40.411385941915654,0.04734110087156296
J083548+311021,19376,128.9537411224645,31.172536742880418,0.07157275825738907,128.95597833677795,31.208149396332413,0.07130394130945206
J083548+311021,19376,128.9537411224645,31.172536742880418,0.07157275825738907,128.95597833677795,31.208149396332413,0.07130394130945206
